Name,Email,Phone,Age,City,Total Orders,Total Spent,Last Order Date,Tags
"Meera Deshmukh","meera.deshmukh0@example.com","9840711814",55,"Chandigarh",9,5643,"2026-03-06","electronics, vip"
"Rohan Gupta","rohan.gupta1@example.com","9690533769",46,"Jaipur",9,10278,"2026-06-01","vip"
"Priya Rao","priya.rao2@example.com","9755373265",35,"Chennai",17,17850,"2026-03-25","loyal, churn-risk, young"
"Sai Gupta","sai.gupta3@example.com","9608077973",55,"Chennai",8,8592,"2026-04-30","loyal, frequent"
"Siddharth Sharma","siddharth.sharma4@example.com","9526849768",25,"Mumbai",47,80699,"2026-03-22","loyal"
"Kabir Joshi","kabir.joshi5@example.com","9142895697",42,"Ahmedabad",28,58940,"2026-06-06","loyal, vip"
"Priya Joshi","priya.joshi6@example.com","9540559533",43,"Mumbai",36,76644,"2026-04-05","frequent"
"Lalit Verma","lalit.verma7@example.com","9156083017",30,"Bangalore",12,25860,"2026-06-03","electronics, vip, grocery"
"Aditya Singh","aditya.singh8@example.com","9932572570",30,"Jaipur",16,21792,"2026-05-04","inactive"
"Lalit Joshi","lalit.joshi9@example.com","9812326878",43,"Pune",45,30015,"2026-03-04","grocery, deal-hunter"
"Sai Bhat","sai.bhat10@example.com","9119253861",38,"Bangalore",27,15390,"2026-06-14","apparel, loyal"
"Deepika Verma","deepika.verma11@example.com","9585118813",23,"Kolkata",9,5364,"2026-04-14","apparel, frequent"
"Sneha Joshi","sneha.joshi12@example.com","9310807398",24,"Delhi",30,46050,"2026-04-11","grocery"
"Siddharth Desai","siddharth.desai13@example.com","9194812199",24,"Kolkata",38,82878,"2026-04-21","frequent, electronics"
"Rohan Bhat","rohan.bhat14@example.com","9241557410",45,"Hyderabad",9,19269,"2026-03-01","inactive"
"Sneha Verma","sneha.verma15@example.com","9488182136",39,"Delhi",14,21966,"2026-03-29","churn-risk"
"Meera Gupta","meera.gupta16@example.com","9128532995",47,"Chandigarh",18,28062,"2026-05-13","loyal, young"
"Deepika Kapoor","deepika.kapoor17@example.com","9299321069",23,"Ahmedabad",7,13503,"2026-04-14","young, electronics"
"Shreya Reddy","shreya.reddy18@example.com","9210206557",36,"Chennai",7,14231,"2026-05-19","churn-risk, electronics"
"Sai Sharma","sai.sharma19@example.com","9316382178",18,"Delhi",28,55412,"2026-05-19","inactive"
"Isha Kapoor","isha.kapoor20@example.com","9570953932",27,"Chennai",46,37950,"2026-02-16","inactive"
"Meera Gupta","meera.gupta21@example.com","9724521090",23,"Hyderabad",17,24684,"2026-04-04","electronics, deal-hunter"
"Rohan Bhat","rohan.bhat22@example.com","9861462116",31,"Ahmedabad",5,5245,"2026-02-24","young, deal-hunter"
"Rohan Singh","rohan.singh23@example.com","9181564311",22,"Chennai",32,43968,"2026-03-03","inactive, apparel"
"Lalit Kapoor","lalit.kapoor24@example.com","9732929729",32,"Bangalore",2,1634,"2026-03-13","frequent, young"
"Shreya Kumar","shreya.kumar25@example.com","9990345461",26,"Jaipur",15,21690,"2026-05-19","churn-risk, apparel"
"Lalit Reddy","lalit.reddy26@example.com","9276113046",23,"Surat",28,58884,"2026-03-31","young, deal-hunter"
"Sai Kapoor","sai.kapoor27@example.com","9548999808",36,"Kolkata",22,45936,"2026-03-25","churn-risk, grocery"
"Sai Menon","sai.menon28@example.com","9867521732",31,"Kolkata",49,45080,"2026-03-22","apparel, young"
"Arjun Gupta","arjun.gupta29@example.com","9772318095",44,"Chennai",2,2188,"2026-02-21","grocery, loyal"
"Aarav Sharma","aarav.sharma30@example.com","9891295529",51,"Hyderabad",42,40866,"2026-05-11","churn-risk"
